lang	prod	text	ADJ==NOUN==PUNCT	NOUN==ADP==NOUN	VERB==NOUN==PUNCT	ADP==ADJ==NOUN	NOUN==NOUN==PUNCT	ADP==NOUN==PUNCT	VERB==ADJ==NOUN	DET==NOUN==PUNCT	NOUN==PUNCT==CCONJ	ADJ==NOUN==ADP	NOUN==PUNCT==PRON	ADP==DET==NOUN	ADV==ADJ==PUNCT	PRON==VERB==PUNCT	ADJ==ADJ==NOUN	VERB==DET==NOUN	NOUN==CCONJ==NOUN	NUM==NOUN==PUNCT	VERB==ADP==NOUN	AUX==ADJ==PUNCT	NOUN==ADJ==NOUN	AUX==ADV==ADJ	PUNCT==SCONJ==PRON	ADV==VERB==PUNCT	ADJ==NOUN==NOUN	lexical variety	lemma variety	POS variety	richPOS variety	length	ADJ	ADP	ADV	AUX	CCONJ	DET	INTJ	NOUN	NUM	PART	PRON	PROPN	PUNCT	SCONJ	SYM	VERB	X	_
en	org	review_beauty_82_1.conllu	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.723	0.677	0.2	0.361	65	3	3	3	6	4	6	0	8	1	4	8	0	5	3	0	11	0	0
en	org	review_beauty_87_1.conllu	2	0	0	0	0	0	2	1	0	2	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0.79	0.71	0.2	0.387	60	7	5	3	5	1	5	0	10	3	0	4	3	7	0	0	7	0	0
en	org	review_beauty_88_1.conllu	4	1	0	2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0.704	0.676	0.197	0.326	71	11	4	2	8	1	3	1	10	0	2	8	5	9	1	0	6	0	0
en	org	review_beauty_93_1.conllu	4	0	0	2	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0.738	0.713	0.205	0.25	78	8	8	2	3	1	7	1	12	2	1	4	8	13	2	1	5	0	0
en	org	review_books_11_5.conllu	1	0	0	0	0	0	0	1	0	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0.788	0.788	0.182	0.348	66	3	6	4	2	1	6	0	11	0	0	4	5	14	1	0	9	0	0
en	org	review_books_14_4.conllu	0	0	0	1	1	0	0	1	0	0	0	2	1	0	0	1	0	0	0	0	0	1	0	0	2	0.77	0.705	0.197	0.312	61	3	6	1	6	1	6	0	16	0	3	2	0	6	2	0	9	0	0
en	org	review_books_16_1.conllu	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0.785	0.723	0.219	0.253	64	4	4	4	6	1	6	0	8	1	5	4	0	7	3	3	8	0	0
en	org	review_books_172_1.conllu	0	1	0	0	0	0	0	1	1	0	0	2	0	0	0	1	0	0	0	0	0	0	0	1	0	0.734	0.671	0.177	0.248	79	4	8	6	7	2	10	0	13	1	4	5	4	8	1	0	6	0	0
en	org	review_books_18_4.conllu	2	1	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0.705	0.67	0.149	0.274	94	8	9	6	6	3	8	0	16	1	3	9	3	6	5	0	11	0	0
en	org	review_books_19_4.conllu	3	1	0	0	1	0	1	1	0	1	1	1	0	0	1	1	1	1	1	0	0	0	0	0	1	0.755	0.709	0.139	0.221	101	10	11	4	3	2	10	0	19	2	6	5	4	10	3	0	12	0	0
en	org	review_books_1_4.conllu	1	1	0	0	0	0	0	2	0	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0.812	0.781	0.203	0.286	64	5	5	7	2	1	6	0	12	0	2	6	5	6	1	0	6	0	0
en	org	review_books_233_1.conllu	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0.831	0.754	0.2	0.321	65	5	9	0	3	3	5	0	12	1	1	8	2	5	2	0	9	0	0
en	org	review_books_268_2.conllu	1	0	0	0	0	0	0	3	2	1	0	4	1	1	0	2	0	0	0	1	0	2	0	0	0	0.635	0.615	0.137	0.232	95	6	6	4	6	4	12	0	16	0	5	13	1	8	4	0	10	0	0
en	org	review_books_302_2.conllu	3	3	0	0	0	0	2	0	0	3	1	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0.756	0.722	0.135	0.209	89	11	8	6	2	4	11	0	18	0	2	6	0	6	2	0	13	0	0
en	org	review_books_311_1.conllu	0	0	0	0	3	0	0	1	0	0	0	5	0	0	0	3	0	0	1	1	0	0	0	0	0	0.761	0.674	0.152	0.268	92	2	10	5	7	2	12	0	19	0	3	5	3	9	1	0	13	1	0
en	org	review_books_5_5.conllu	1	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0.767	0.644	0.178	0.38	73	9	3	4	6	1	5	0	9	2	4	10	0	7	3	0	10	0	0
en	org	review_books_77_2.conllu	2	0	0	0	0	0	0	3	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	1	0.52	0.489	0.141	0.282	92	6	8	4	10	2	8	0	11	0	2	17	1	7	4	0	12	0	0
en	org	review_books_8_4.conllu	0	0	0	1	0	0	0	2	0	0	0	1	0	0	0	3	0	0	0	1	0	0	0	0	0	0.675	0.636	0.182	0.298	77	5	3	1	8	3	7	0	12	1	2	10	5	7	2	0	11	0	0
en	org	review_cd+vinyl_107_2.conllu	0	1	0	1	0	0	0	2	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0.708	0.653	0.194	0.295	72	6	9	3	6	1	9	0	14	1	3	4	2	5	3	0	6	0	0
en	org	review_cd+vinyl_110_1.conllu	1	0	0	0	0	0	0	1	0	1	0	2	0	0	0	0	0	0	0	1	0	0	0	0	1	0.743	0.73	0.203	0.245	74	5	8	2	2	1	8	1	11	4	2	4	4	12	0	2	8	0	0
en	org	review_cd+vinyl_113_2.conllu	0	1	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	2	0.714	0.643	0.174	0.2	69	6	7	3	2	0	10	0	18	2	1	1	7	11	0	0	1	0	0
en	org	review_cd+vinyl_12_5.conllu	0	1	0	0	0	1	0	1	0	1	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0.818	0.758	0.231	0.33	65	3	7	3	3	2	6	0	8	4	1	6	6	7	3	2	4	0	0
en	org	review_cd+vinyl_152_2.conllu	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0.734	0.619	0.206	0.294	63	3	3	3	4	3	7	0	8	0	3	5	7	9	2	0	6	0	0
en	org	review_cd+vinyl_156_2.conllu	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0.734	0.619	0.206	0.291	63	1	3	4	4	3	7	0	8	0	3	5	8	9	2	0	6	0	0
en	org	review_cd+vinyl_159_2.conllu	1	1	0	0	2	0	0	2	0	0	1	1	0	1	0	3	0	1	0	0	0	1	0	0	1	0.713	0.652	0.125	0.257	112	4	5	7	10	3	9	0	17	3	7	13	3	13	2	0	16	0	0
en	org	review_cd+vinyl_164_1.conllu	0	0	0	0	0	0	0	1	1	0	0	2	3	0	0	3	0	0	0	0	0	0	0	0	0	0.758	0.727	0.182	0.29	66	5	4	5	4	3	7	0	8	0	3	5	5	10	0	0	7	0	0
en	org	review_cd+vinyl_16_5.conllu	0	0	0	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0.59	0.548	0.136	0.222	103	3	9	7	5	4	4	1	8	0	3	19	6	16	1	0	17	0	0
en	org	review_cd+vinyl_17_5.conllu	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	2	0	0	0	1	0	0	0	0	0	0.787	0.717	0.217	0.39	60	4	4	3	4	1	10	0	8	0	1	5	4	6	2	0	8	0	0
