textid	register	transl-id	status	study	studyyear	experience	age	nativelang	gender
review_movies+TV_20_5	review	pr01	prof	NA	NA	5	28	HR	m
review_movies+TV_22_5	review	pr01	prof	NA	NA	5	28	HR	m
review_musical-instruments_12_4	review	pr01	prof	NA	NA	5	28	HR	m
review_musical-instruments_17_4	review	pr01	prof	NA	NA	5	28	HR	m
review_musical-instruments_18_5	review	pr01	prof	NA	NA	5	28	HR	m
review_musical-instruments_24_5	review	pr01	prof	NA	NA	5	28	HR	m
review_patio+lawn+garden_147_2	review	pr01	prof	NA	NA	5	28	HR	m
review_patio+lawn+garden_14_5	review	pr01	prof	NA	NA	5	28	HR	m
review_patio+lawn+garden_1_4	review	pr01	prof	NA	NA	5	28	HR	m
review_pet_supplies_131_2	review	pr01	prof	NA	NA	5	28	HR	m
review_pet_supplies_143_1	review	pr01	prof	NA	NA	5	28	HR	m
review_pet_supplies_15_1	review	pr01	prof	NA	NA	5	28	HR	m
review_pet_supplies_23_4	review	pr01	prof	NA	NA	5	28	HR	m
review_sports+outdoors_146_2	review	pr01	prof	NA	NA	5	28	HR	m
review_sports+outdoors_181_1	review	pr01	prof	NA	NA	5	28	HR	m
review_sports+outdoors_209_1	review	pr01	prof	NA	NA	5	28	HR	m
review_toys-and-games_187_1	review	pr01	prof	NA	NA	5	28	HR	m
review_toys-and-games_21_5	review	pr01	prof	NA	NA	5	28	HR	m
review_toys-and-games_23_5	review	pr01	prof	NA	NA	5	28	HR	m
review_video-games_13_5	review	pr01	prof	NA	NA	5	28	HR	m
review_video-games_17_5	review	pr01	prof	NA	NA	5	28	HR	m
review_video-games_18_2	review	pr01	prof	NA	NA	5	28	HR	m
review_video-games_20_1	review	pr01	prof	NA	NA	5	28	HR	m
scotsman.133783	news	pr01	prof	NA	NA	5	28	HR	m
seattle_times.7019	news	pr01	prof	NA	NA	5	28	HR	m
telegraph.405408	news	pr01	prof	NA	NA	5	28	HR	m
abcnews.306758	news	pr02	prof	NA	NA	7	32	HR	f
bbc.381692	news	pr02	prof	NA	NA	7	32	HR	f
bbc.381694	news	pr02	prof	NA	NA	7	32	HR	f
bbc.381701	news	pr02	prof	NA	NA	7	32	HR	f
cbsnews.248387	news	pr02	prof	NA	NA	7	32	HR	f
chicago_defender.80	news	pr02	prof	NA	NA	7	32	HR	f
cnn.304400	news	pr02	prof	NA	NA	7	32	HR	f
cnn.304489	news	pr02	prof	NA	NA	7	32	HR	f
dailymail.co.uk.298630	news	pr02	prof	NA	NA	7	32	HR	f
euronews-en.153799	news	pr02	prof	NA	NA	7	32	HR	f
independent.226349	news	pr02	prof	NA	NA	7	32	HR	f
reuters.218882	news	pr02	prof	NA	NA	7	32	HR	f
reuters.218933	news	pr02	prof	NA	NA	7	32	HR	f
review_beauty_18_5	review	pr02	prof	NA	NA	7	32	HR	f
review_beauty_21_5	review	pr02	prof	NA	NA	7	32	HR	f
review_beauty_25_5	review	pr02	prof	NA	NA	7	32	HR	f
review_beauty_93_1	review	pr02	prof	NA	NA	7	32	HR	f
review_books_18_4	review	pr02	prof	NA	NA	7	32	HR	f
review_books_19_4	review	pr02	prof	NA	NA	7	32	HR	f
review_books_233_1	review	pr02	prof	NA	NA	7	32	HR	f
