lang	prod	text	ADJ==NOUN==PUNCT	NOUN==ADP==NOUN	VERB==NOUN==PUNCT	ADP==ADJ==NOUN	NOUN==NOUN==PUNCT	ADP==NOUN==PUNCT	VERB==ADJ==NOUN	DET==NOUN==PUNCT	NOUN==PUNCT==CCONJ	ADJ==NOUN==ADP	NOUN==PUNCT==PRON	ADP==DET==NOUN	ADV==ADJ==PUNCT	PRON==VERB==PUNCT	ADJ==ADJ==NOUN	VERB==DET==NOUN	NOUN==CCONJ==NOUN	NUM==NOUN==PUNCT	VERB==ADP==NOUN	AUX==ADJ==PUNCT	NOUN==ADJ==NOUN	AUX==ADV==ADJ	PUNCT==SCONJ==PRON	ADV==VERB==PUNCT	ADJ==NOUN==NOUN	lexvar	lemvar	posvar	richposvar	sentlgth
hr	mt	OnlineB_review_health+care_119_2.conllu	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	4	0	1	0	0	0	0.81	0.746	0.19	0.436	63
hr	mt	OnlineB_review_health+care_127_1.conllu	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0.766	0.703	0.188	0.486	64
hr	mt	OnlineB_review_health+care_13_5.conllu	1	1	0	1	1	1	1	0	0	1	0	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0.7	0.6	0.157	0.463	70
hr	mt	OnlineB_review_health+care_14_5.conllu	4	0	1	2	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.738	0.677	0.2	0.444	66
hr	mt	OnlineB_review_health+care_16_4.conllu	2	0	0	2	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0.743	0.671	0.171	0.412	70
hr	mt	OnlineB_review_health+care_185_2.conllu	1	1	0	1	0	2	0	0	1	1	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0.815	0.754	0.203	0.456	64
hr	mt	OnlineB_review_health+care_199_2.conllu	3	1	0	3	0	1	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0.786	0.686	0.2	0.512	70
hr	mt	OnlineB_review_health+care_19_5.conllu	0	0	0	0	0	1	1	1	0	1	0	1	1	0	0	0	1	0	1	2	0	0	0	0	0	0.783	0.717	0.183	0.395	60
hr	mt	OnlineB_review_health+care_4_4.conllu	1	1	1	2	1	1	0	0	0	2	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0.865	0.797	0.192	0.512	73
hr	mt	OnlineB_review_health+care_53_1.conllu	3	0	0	2	1	0	0	0	2	0	0	0	0	0	3	0	0	5	0	1	1	0	0	0	1	0.729	0.589	0.121	0.392	107
hr	mt	OnlineB_review_health+care_6_5.conllu	0	0	0	2	1	0	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0.827	0.788	0.212	0.672	52
hr	mt	OnlineB_review_health+care_84_1.conllu	3	2	0	0	0	1	0	0	1	1	0	2	0	0	3	0	0	0	1	0	0	0	0	0	0	0.846	0.758	0.154	0.505	91
hr	mt	OnlineB_review_health+care_8_5.conllu	2	2	0	0	1	0	0	0	0	0	0	0	0	1	1	0	2	1	0	0	0	0	0	0	1	0.839	0.768	0.232	0.567	56
hr	mt	OnlineB_review_home+kitchen_10_5.conllu	1	0	0	1	0	0	0	2	0	0	0	1	1	0	1	1	0	0	0	1	0	1	0	2	0	0.797	0.71	0.174	0.494	69
hr	mt	OnlineB_review_home+kitchen_112_1.conllu	1	2	1	3	0	1	3	0	0	1	0	0	1	0	0	0	2	0	0	2	0	1	0	0	0	0.841	0.744	0.134	0.51	82
hr	mt	OnlineB_review_home+kitchen_12_5.conllu	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0.849	0.774	0.208	0.492	53
hr	mt	OnlineB_review_home+kitchen_145_1.conllu	5	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0.804	0.661	0.179	0.471	56
